Player,Position,Games,Win rate,KDA
Bwipo,TOP,13,30.8%,1.7
Caps,MID,14,35.7%,2.4
Cuzz,JUNGLE,3,66.7%,6
Doublelift,ADC,11,36.4%,3.5
GorillA,SUPPORT,18,55.6%,3.1
Hanabi,TOP,15,53.3%,2.1
Hylissang,SUPPORT,14,35.7%,2
Impact,TOP,11,36.4%,2.5
Joey,SUPPORT,1,0%,0.3
Karsa,JUNGLE,7,85.7%,6.5
Khan,TOP,18,55.6%,2.7
LetMe,TOP,18,77.8%,6.3
Maple,MID,15,53.3%,5.8
Ming,SUPPORT,18,77.8%,6.5
Mlxg,JUNGLE,11,72.7%,4.4
MooJin,JUNGLE,15,53.3%,3.7
Olleh,SUPPORT,10,40%,2.2
Peanut,JUNGLE,15,53.3%,5
Pobelter,MID,11,36.4%,2.8
PraY,ADC,18,55.6%,3.3
Rekkles,ADC,14,35.7%,4.9
RonOP,SUPPORT,10,20%,0.8
Slay,ADC,10,20%,2
Stark,TOP,10,20%,2.1
SwordArt,SUPPORT,15,53.3%,5.3
Uzi,ADC,18,77.8%,8.6
Warzone,MID,10,20%,1.8
Xmithie,JUNGLE,11,36.4%,4
YiJin,JUNGLE,10,20%,1.6
sOAZ,TOP,1,100%,7
xiaohu,MID,18,77.8%,4.6
957,TOP,15,60%,3.9
Albis,SUPPORT,6,33.3%,3.7
Alphari,TOP,12,50%,3.1
Ambition,JUNGLE,15,80%,4.2
An,ADC,6,33.3%,1.9
Archie,TOP,7,28.6%,1.1
Bang,ADC,19,57.9%,4.5
Bdd,MID,9,66.7%,7.2
Ben,SUPPORT,15,60%,5.4
Betty,ADC,6,16.7%,3.2
Biofrost,SUPPORT,7,42.9%,3.6
Bjergsen,MID,7,42.9%,4.2
Broxah,JUNGLE,12,41.7%,4.2
Caps,MID,12,41.7%,2.7
Chawy,MID,2,0%,1.7
ClearLove,JUNGLE,6,33.3%,4.3
Cody Sun,ADC,7,28.6%,2.8
Condi,JUNGLE,15,60%,3.8
Contractz,JUNGLE,11,45.5%,2.9
CoreJJ,SUPPORT,16,81.3%,7.9
Crash,JUNGLE,6,0%,1.4
Crown,MID,16,81.3%,5
CuVee,TOP,16,81.3%,4.7
Cuzz,JUNGLE,9,66.7%,3.6
Doublelift,ADC,7,42.9%,1.8
Expect,TOP,6,50%,3.6
Faker,MID,19,57.9%,3.7
Flame,TOP,7,28.6%,2.6
Frozen,MID,6,0%,1.4
GorillA,SUPPORT,9,66.7%,4.5
Hans sama,ADC,12,50%,4.2
Haru,JUNGLE,1,100%,9
Hauntzer,TOP,7,42.9%,2.2
Huni,TOP,19,57.9%,2.8
IgNar,SUPPORT,12,50%,4.5
Impact,TOP,11,45.5%,3.2
Japone,SUPPORT,6,0%,1.5
Jensen,MID,11,45.5%,3.6
Jesiz,SUPPORT,12,41.7%,4.5
Karsa,JUNGLE,6,16.7%,2.2
Khan,TOP,8,62.5%,4.4
LetMe,TOP,15,66.7%,3.8
Levi,JUNGLE,7,28.6%,1.9
MMD,TOP,6,16.7%,1.8
Maple,MID,6,16.7%,3.3
Maxlore,JUNGLE,12,50%,3.2
Ming,SUPPORT,15,66.7%,6.3
Mithy,SUPPORT,6,50%,6.4
Mlxg,JUNGLE,15,66.7%,3.7
Mountain,JUNGLE,6,33.3%,2.2
Mouse,TOP,6,33.3%,5.1
Mystic,ADC,15,60%,4
Nevan,SUPPORT,3,33.3%,2.9
Noway,ADC,7,28.6%,5.1
Olleh,SUPPORT,7,28.6%,3.1
Optimus,MID,7,28.6%,2
Peanut,JUNGLE,10,60%,4
Perkz,MID,6,50%,5.7
Pobelter,MID,7,28.6%,2.4
PowerOfEvil,MID,12,50%,4.9
PraY,ADC,9,66.7%,4.9
Rascal,TOP,1,100%,8
Rekkles,ADC,12,41.7%,3.7
Ruler,ADC,16,81.3%,7.4
Scout,MID,6,33.3%,4.3
Smoothie,SUPPORT,11,45.5%,6.4
Sneaky,ADC,11,45.5%,3.8
Svenskeren,JUNGLE,7,42.9%,1.7
SwordArt,SUPPORT,6,16.7%,4.2
Sya,SUPPORT,4,25%,1.9
Thaldrin,TOP,6,0%,0.7
Trick,JUNGLE,6,50%,3.4
Uzi,ADC,15,66.7%,8.5
Wolf,SUPPORT,19,57.9%,3.9
Xmithie,JUNGLE,7,28.6%,2.9
Ziv,TOP,6,33.3%,2.6
Zven,ADC,6,50%,3.8
blank,JUNGLE,9,55.6%,2.8
iBOY,ADC,6,33.3%,5.5
meiko,SUPPORT,6,33.3%,7.6
padden,ADC,6,0%,1.3
sOAZ,TOP,12,41.7%,1.6
westdoor,MID,4,50%,3.5
xiaohu,MID,15,66.7%,7.6
xiye,MID,15,60%,4.8
957,TOP,14,57.1%,4
Archie,SUPPORT,10,30%,2.1
Bang,ADC,17,82.4%,5
Ben,SUPPORT,11,54.5%,2.5
Betty,ADC,14,35.7%,4.2
Biofrost,SUPPORT,11,36.4%,3.1
Bjergsen,MID,11,36.4%,5.1
Condi,JUNGLE,14,57.1%,4.1
Expect,TOP,18,44.4%,3.4
Faker,MID,17,82.4%,4.7
Hauntzer,TOP,11,36.4%,2.2
Huni,TOP,17,82.4%,3.4
Karsa,JUNGLE,14,35.7%,3.3
Levi,JUNGLE,10,30%,3.4
MMD,TOP,14,35.7%,2.8
Maple,MID,14,35.7%,4.3
Mithy,SUPPORT,18,44.4%,2.9
Mystic,ADC,14,57.1%,4.4
Optimus,MID,10,30%,2
Peanut,JUNGLE,17,82.4%,7.4
Perkz,MID,18,44.4%,2.7
Slay,ADC,10,30%,2.5
Stark,TOP,10,30%,1.6
Svenskeren,JUNGLE,11,36.4%,1.9
SwordArt,SUPPORT,14,35.7%,4.1
Trick,JUNGLE,18,44.4%,2.3
WildTurtle,ADC,11,36.4%,2.7
Wolf,SUPPORT,17,82.4%,5.2
Zero,SUPPORT,3,66.7%,4.7
Zven,ADC,18,44.4%,3.3
xiye,MID,14,57.1%,4.8
Albis,SUPPORT,6,50%,4.2
AmazingJ,TOP,6,33.3%,3.1
Ambition,JUNGLE,17,76.5%,3.7
An,ADC,6,50%,3.2
Aphromoo,SUPPORT,6,50%,3.9
Athena,MID,4,25%,2.5
Athena,JUNGLE,1,100%,3
Avoidless,SUPPORT,1,100%,10
Avoidless,JUNGLE,5,20%,2.3
BaeMe,MID,2,50%,8
Bang,ADC,20,70%,6.3
Biofrost,SUPPORT,6,50%,4.2
Bjergsen,MID,6,50%,6.1
Chawy,MID,1,0%,2.5
ClearLove,JUNGLE,11,45.5%,4.4
CoreJJ,SUPPORT,15,80%,4.6
Crown,MID,17,76.5%,4.1
CuVee,TOP,17,76.5%,2.8
Deft,ADC,11,45.5%,4.2
Doublelift,ADC,6,50%,2.9
Duke,TOP,20,70%,3.5
Expect,TOP,6,16.7%,1.8
FORG1VEN,ADC,13,61.5%,7.9
Faker,MID,20,70%,3.6
GorillA,SUPPORT,16,62.5%,3.6
Hauntzer,TOP,6,50%,2.9
Huhi,MID,6,50%,3.8
Impact,TOP,9,33.3%,1.8
Jankos,JUNGLE,13,61.5%,5
Jensen,MID,9,33.3%,3.3
Jockster,SUPPORT,6,16.7%,0.7
